,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Claudiu Ciprian TĂNĂSESCU,10049,9639.0,0.9591999203900886,0.9226788735197532,3.0,0.0003112356053532524,3.0,0.0003112356053532524,S&D,Romania
Urszula KRUPA  This person became MEP later than the general start of the term.,6478,6443.0,0.9945970978697128,0.9861068230935474,2.0,0.0003104144032283098,2.0,0.0003104144032283098,ECR,Poland
Norbert NEUSER,10049,9723.0,0.9675589610906558,0.9405911035923973,3.0,0.000308546744831842,4.0,0.00041139565977578934,S&D,Germany
Paavo VÄYRYNEN,7382,6488.0,0.8788946085071796,0.8630452451910051,2.0,0.00030826140567200987,2.0,0.00030826140567200987,ALDE/ADLE,Finland
Gabriele PREUSS,10049,9763.0,0.9715394566623544,0.9591004080007961,3.0,0.0003072825975622247,3.0,0.0003072825975622247,S&D,Germany
Dubravka ŠUICA,10049,9810.0,0.9762165389591004,0.9313364513881979,3.0,0.0003058103975535168,14.0,0.0014271151885830785,EPP,Croatia
António MARINHO E PINTO,10049,9813.0,0.9765150761269779,0.9576077221614091,3.0,0.0003057169061449098,3.0,0.0003057169061449098,ALDE/ADLE,Portugal
Indrek TARAND,10049,9828.0,0.9780077619663649,0.8265499054632302,3.0,0.00030525030525030525,10.0,0.0010175010175010174,Greens/EFA,Estonia
Miroslavs MITROFANOVS  This person became MEP later than the general start of the term.,3376,3290.0,0.9745260663507109,0.893957345971564,1.0,0.00030395136778115504,1.0,0.00030395136778115504,Greens/EFA,Latvia
Peter JAHR,10049,9926.0,0.9877599761170266,0.9750223902875909,3.0,0.0003022365504735039,3.0,0.0003022365504735039,EPP,Germany
Petra KAMMEREVERT,10049,9983.0,0.9934321823066972,0.9442730619962185,3.0,0.0003005108684764099,3.0,0.0003005108684764099,S&D,Germany
Thomas MANN,10049,9994.0,0.9945268185889143,0.9718379938302318,3.0,0.0003001801080648389,3.0,0.0003001801080648389,EPP,Germany
Jaromír KOHLÍČEK  This person became MEP later than the general start of the term.,7398,6666.0,0.9010543390105434,0.7235739389024061,2.0,0.00030003000300030005,3.0,0.00045004500450045,GUE-NGL,Czech Republic
Bogdan Andrzej ZDROJEWSKI,10049,10049.0,1.0,0.9973131654891034,3.0,0.00029853716787740076,4.0,0.0003980495571698676,EPP,Poland
Cristian Dan PREDA,10049,10049.0,1.0,0.997014628321226,3.0,0.00029853716787740076,7.0,0.0006965867250472683,EPP,Romania
Lorenzo CESA,10049,7131.0,0.7096228480445815,0.6196636481241915,2.0,0.0002804655728509325,2.0,0.0002804655728509325,EPP,Italy
Stanisław ŻÓŁTEK,10049,7444.0,0.7407702258931237,0.699273559558165,2.0,0.00026867275658248256,2.0,0.00026867275658248256,ENF,Poland
Curzio MALTESE,10049,7547.0,0.7510200019902478,0.6943974524828341,2.0,0.00026500596263415925,3.0,0.00039750894395123893,GUE-NGL,Italy
Thomas WAITZ  This person became MEP later than the general start of the term.,3978,3901.0,0.9806435394670688,0.9311211664152841,1.0,0.0002563445270443476,1.0,0.0002563445270443476,Greens/EFA,Austria
Dennis RADTKE  This person became MEP later than the general start of the term.,4430,4131.0,0.9325056433408578,0.9234762979683973,1.0,0.0002420721374969741,1.0,0.0002420721374969741,EPP,Germany
Hermann WINKLER,10049,8532.0,0.8490397054433277,0.7793810329386008,2.0,0.00023441162681669012,2.0,0.00023441162681669012,EPP,Germany
Răzvan POPA  This person became MEP later than the general start of the term.,4419,4302.0,0.9735234215885947,0.835030549898167,1.0,0.00023245002324500232,1.0,0.00023245002324500232,S&D,Romania
Patrick O'FLYNN,10049,8643.0,0.8600855806547916,0.8318240620957309,2.0,0.00023140113386555593,2.0,0.00023140113386555593,EFDD,United Kingdom
Pirkko RUOHONEN-LERNER  This person became MEP later than the general start of the term.,9501,8688.0,0.9144300599936849,0.8765393116514051,2.0,0.00023020257826887662,2.0,0.00023020257826887662,ECR,Finland
Michał MARUSIK,10049,8811.0,0.876803662055926,0.8395860284605433,2.0,0.00022698899103393486,2.0,0.00022698899103393486,ENF,Poland
Dan NICA,10049,8836.0,0.8792914717882376,0.7911234948751119,2.0,0.00022634676324128565,2.0,0.00022634676324128565,S&D,Romania
Tadeusz ZWIEFKA,10049,9371.0,0.9325306000597074,0.8978007761966365,2.0,0.00021342439440828086,2.0,0.00021342439440828086,EPP,Poland
Ulrike TREBESIUS,10049,9430.0,0.9384018310279629,0.8687431585232361,2.0,0.00021208907741251324,2.0,0.00021208907741251324,ECR,Germany
Valentinas MAZURONIS,10049,9570.0,0.9523335655289084,0.9142203204298935,2.0,0.0002089864158829676,2.0,0.0002089864158829676,ALDE/ADLE,Lithuania
Udo BULLMANN,10049,9604.0,0.9557169867648522,0.8554084983580456,2.0,0.00020824656393169514,2.0,0.00020824656393169514,S&D,Germany
Davor ŠKRLEC,10049,9617.0,0.9570106478256543,0.9287491292665937,2.0,0.0002079650618696059,2.0,0.0002079650618696059,Greens/EFA,Croatia
Joachim STARBATTY,10049,9756.0,0.9708428699373072,0.9088466514081003,2.0,0.0002050020500205002,2.0,0.0002050020500205002,ECR,Germany
Janusz LEWANDOWSKI,10049,9790.0,0.9742262911732511,0.9223803363518758,2.0,0.00020429009193054137,2.0,0.00020429009193054137,EPP,Poland
Zoltán BALCZÓ,10049,9792.0,0.974425315951836,0.927754005373669,2.0,0.0002042483660130719,2.0,0.0002042483660130719,NI,Hungary
Jaromír ŠTĚTINA,10049,9834.0,0.9786048363021196,0.9017812717683351,2.0,0.0002033760423022168,2.0,0.0002033760423022168,EPP,Czech Republic
Stefan ECK,10049,10023.0,0.9974126778783958,0.956712110657777,2.0,0.00019954105557218397,11.0,0.0010974758056470119,GUE-NGL,Germany
Adam GIEREK,10049,10035.0,0.9986068265499055,0.9496467310180118,2.0,0.0001993024414549078,2.0,0.0001993024414549078,S&D,Poland
Svetoslav Hristov MALINOV,10049,10049.0,1.0,0.9770126380734402,2.0,0.0001990247785849338,2.0,0.0001990247785849338,EPP,Bulgaria
Petr MACH,5619,5106.0,0.9087026161238655,0.8764904787328707,1.0,0.00019584802193497845,1.0,0.00019584802193497845,EFDD,Czech Republic
Peter KOUROUMBASHEV  This person became MEP later than the general start of the term.,5357,5291.0,0.9876796714579056,0.9529587455665485,1.0,0.000189000189000189,1.0,0.000189000189000189,S&D,Bulgaria
Manuel dos SANTOS  This person became MEP later than the general start of the term.,6478,6471.0,0.9989194195739426,0.968045693115159,1.0,0.00015453562046051616,1.0,0.00015453562046051616,S&D,Portugal
Antanas GUOGA,10049,6866.0,0.6832520648820778,0.656881281719574,1.0,0.00014564520827264782,1.0,0.00014564520827264782,EPP,Lithuania
Sławomir KŁOSOWSKI  This person became MEP later than the general start of the term.,7743,7708.0,0.9954797881957897,0.9878600025829781,1.0,0.00012973533990659055,1.0,0.00012973533990659055,ECR,Poland
Tamás MESZERICS,10049,8187.0,0.8147079311374266,0.670514479052642,1.0,0.00012214486380847684,1.0,0.00012214486380847684,Greens/EFA,Hungary
Goffredo Maria BETTINI,10049,8307.0,0.8266494178525227,0.7611702656980794,1.0,0.00012038040207054291,1.0,0.00012038040207054291,S&D,Italy
Adina-Ioana VĂLEAN,10049,8315.0,0.8274455169668624,0.7852522639068564,1.0,0.00012026458208057727,1.0,0.00012026458208057727,EPP,Romania
Roberts ZĪLE,10049,8332.0,0.8291372275848343,0.708428699373072,1.0,0.00012001920307249159,1.0,0.00012001920307249159,ECR,Latvia
Giorgos GRAMMATIKAKIS,10049,8556.0,0.8514280027863469,0.7762961488705343,1.0,0.0001168770453482936,2.0,0.0002337540906965872,S&D,Greece
Miroslav POCHE,10049,9015.0,0.8971041894715892,0.8471489700467708,1.0,0.00011092623405435385,1.0,0.00011092623405435385,S&D,Czech Republic
Iveta GRIGULE-PĒTERSE,10049,9056.0,0.9011841974325804,0.74425315951836,1.0,0.00011042402826855124,1.0,0.00011042402826855124,ALDE/ADLE,Latvia
Valdemar TOMAŠEVSKI,10049,9060.0,0.9015822469897502,0.7934122798288387,1.0,0.00011037527593818985,1.0,0.00011037527593818985,ECR,Lithuania
Maria João RODRIGUES,10049,9366.0,0.9320330381132451,0.8081401134441238,1.0,0.00010676916506512919,1.0,0.00010676916506512919,S&D,Portugal
Iskra MIHAYLOVA,10049,9366.0,0.9320330381132451,0.8788934222310678,1.0,0.00010676916506512919,1.0,0.00010676916506512919,ALDE/ADLE,Bulgaria
Michał BONI,10049,9383.0,0.933724748731217,0.8539158125186586,1.0,0.00010657572205051689,1.0,0.00010657572205051689,EPP,Poland
Joachim ZELLER,10049,9395.0,0.9349188974027266,0.9078515275151756,1.0,0.00010643959552953698,1.0,0.00010643959552953698,EPP,Germany
Frank ENGEL,10049,9421.0,0.9375062195243308,0.8275450293561548,1.0,0.00010614584439019212,1.0,0.00010614584439019212,EPP,Luxembourg
Norica NICOLAI,10049,9484.0,0.9437755000497562,0.8666533983480943,1.0,0.00010544074230282581,1.0,0.00010544074230282581,ALDE/ADLE,Romania
Nedzhmi ALI,10049,9540.0,0.9493481938501344,0.9105383620260723,1.0,0.00010482180293501048,1.0,0.00010482180293501048,ALDE/ADLE,Bulgaria
Ioan Mircea PAŞCU,10049,9615.0,0.9568116230470693,0.8471489700467708,1.0,0.00010400416016640666,1.0,0.00010400416016640666,S&D,Romania
Knut FLECKENSTEIN,10049,9650.0,0.9602945566723057,0.8458553089859687,1.0,0.00010362694300518135,1.0,0.00010362694300518135,S&D,Germany
Tonino PICULA,10049,9657.0,0.9609911433973529,0.8923275947855508,1.0,0.00010355182768975873,1.0,0.00010355182768975873,S&D,Croatia
Robert Jarosław IWASZKIEWICZ,10049,9729.0,0.9681560354264106,0.956712110657777,1.0,0.00010278548668927948,1.0,0.00010278548668927948,EFDD,Poland
Bernd KÖLMEL,10049,9771.0,0.9723355557766942,0.9100408000796099,1.0,0.00010234367004400778,1.0,0.00010234367004400778,ECR,Germany
Barbara LOCHBIHLER,10049,9785.0,0.9737287292267888,0.8920290576176734,1.0,0.00010219724067450178,1.0,0.00010219724067450178,Greens/EFA,Germany
Reimer BÖGE,10049,9821.0,0.9773111752413175,0.8780973231167281,1.0,0.00010182262498727217,1.0,0.00010182262498727217,EPP,Germany
Péter NIEDERMÜLLER,10049,9831.0,0.9783062991342422,0.911135436361827,1.0,0.00010171905197843556,3.0,0.0003051571559353067,S&D,Hungary
Theodor Dumitru STOLOJAN,10049,9922.0,0.9873619265598567,0.9751219026768833,1.0,0.00010078613182826043,1.0,0.00010078613182826043,EPP,Romania
Ivan ŠTEFANEC,10049,9929.0,0.988058513284904,0.9678574982585332,1.0,0.00010071507704703394,1.0,0.00010071507704703394,EPP,Slovakia
Ivan JAKOVČIĆ,10049,10020.0,0.9971141407105185,0.9907453477958006,1.0,9.98003992015968e-05,1.0,9.98003992015968e-05,ALDE/ADLE,Croatia
Vladimir URUTCHEV,10049,10046.0,0.9997014628321226,0.97741068763061,1.0,9.954210631096954e-05,1.0,9.954210631096954e-05,EPP,Bulgaria
Liisa JAAKONSAARI,10049,10049.0,1.0,0.9718379938302318,1.0,9.95123892924669e-05,1.0,9.95123892924669e-05,S&D,Finland
Jörg LEICHTFRIED,986,927.0,0.9401622718052738,0.8904665314401623,0.0,0.0,1.0,0.0010787486515641855,S&D,Austria
József NAGY,10049,9676.0,0.9628818787939099,0.9297442531595184,0.0,0.0,1.0,0.00010334849111202976,EPP,Slovakia
Alessandra MORETTI,328,185.0,0.5640243902439024,0.5640243902439024,,,,,S&D,Italy
Algirdas SAUDARGAS,10049,9001.0,0.8957110160214947,0.8710319434769629,,,,,EPP,Lithuania
Andrus ANSIP,140,140.0,1.0,0.6071428571428571,,,,,ALDE/ADLE,Estonia
Annemie NEYTS-UYTTEBROECK,282,171.0,0.6063829787234043,0.5425531914893617,,,,,ALDE/ADLE,Belgium
Antonio TAJANI,10049,9728.0,0.9680565230371181,0.35834411384217335,,,,,EPP,Italy
Babette WINTER  This person became MEP later than the general start of the term.,1348,1311.0,0.9725519287833828,0.8056379821958457,,,,,S&D,Germany
Barbara KUDRYCKA,10049,9435.0,0.9388993929744253,0.9210866752910737,,,,,EPP,Poland
Bogusław LIBERADZKI,10049,9483.0,0.9436759876604637,0.8613792417155935,,,,,S&D,Poland
Boris ZALA,10049,7602.0,0.7564931834013334,0.6973828241616081,,,,,S&D,Slovakia
Brian CROWLEY,10049,478.0,0.04756692208179918,0.0,,,,,ECR,Ireland
Béla KOVÁCS,10049,7964.0,0.7925166683252065,0.6351875808538163,,,,,NI,Hungary
Carlos JIMÉNEZ VILLAREJO,39,39.0,1.0,0.8717948717948718,,,,,GUE-NGL,Spain
Christophe HANSEN  This person became MEP later than the general start of the term.,2465,2465.0,1.0,0.9939148073022313,,,,,EPP,Luxembourg
Corina CREŢU,140,134.0,0.9571428571428572,0.5928571428571429,,,,,S&D,Romania
Czesław HOC  This person became MEP later than the general start of the term.,7743,7740.0,0.9996125532739248,0.9916053209350381,,,,,ECR,Poland
Damiano ZOFFOLI  This person became MEP later than the general start of the term.,9670,9617.0,0.9945191313340227,0.9451913133402275,,,,,S&D,Italy
Francisco SOSA WAGNER,82,82.0,1.0,0.9878048780487805,,,,,ALDE/ADLE,Spain
Georgi PIRINSKI,10049,9535.0,0.948850631903672,0.8736192655985671,,,,,S&D,Bulgaria
Georgios KATROUGKALOS,328,279.0,0.850609756097561,0.7865853658536586,,,,,GUE-NGL,Greece
Giovanni TOTI,1309,519.0,0.3964858670741024,0.22001527883880825,,,,,EPP,Italy
Giuseppe FERRANDINO  This person became MEP later than the general start of the term.,3134,3120.0,0.9955328653477984,0.9470325462667517,,,,,S&D,Italy
Hans JANSEN,809,668.0,0.8257107540173053,0.8220024721878862,,,,,NI,Netherlands
Hans-Olaf HENKEL,10049,9236.0,0.9190964275052244,0.860185093044084,,,,,ECR,Germany
Igor GRÄZIN  This person became MEP later than the general start of the term.,2465,1959.0,0.7947261663286004,0.5188640973630831,,,,,ALDE/ADLE,Estonia
Iliana IOTOVA,4692,4288.0,0.9138959931798807,0.855924978687127,,,,,S&D,Bulgaria
Innocenzo LEONTINI  This person became MEP later than the general start of the term.,2465,2464.0,0.9995943204868154,0.9525354969574037,,,,,ECR,Italy
Isabella LÖVIN,82,82.0,1.0,0.5365853658536586,,,,,Greens/EFA,Sweden
Janusz ZEMKE,10049,10049.0,1.0,0.9801970345307991,,,,,S&D,Poland
Jiří PAYNE  This person became MEP later than the general start of the term.,4430,4153.0,0.937471783295711,0.9209932279909706,,,,,EFDD,Czech Republic
Jozo RADOŠ,10049,9905.0,0.9856702159418848,0.8965071151358344,,,,,ALDE/ADLE,Croatia
Jussi HALLA-AHO,10049,9672.0,0.96248382923674,0.8814807443526719,,,,,ECR,Finland
Krystyna ŁYBACKA,10049,9148.0,0.9103393372474873,0.7477360931435963,,,,,S&D,Poland
Louis IDE,282,68.0,0.24113475177304963,0.1879432624113475,,,,,ECR,Belgium
Mady DELVAUX,10049,9517.0,0.9470594088964076,0.9109364115832421,,,,,S&D,Luxembourg
Marianne THYSSEN,140,99.0,0.7071428571428572,0.3357142857142857,,,,,EPP,Belgium
Marit PAULSEN,1605,1565.0,0.9750778816199377,0.864797507788162,,,,,ALDE/ADLE,Sweden
Marju LAURISTIN,6071,5844.0,0.9626091253500247,0.9131938725086477,,,,,S&D,Estonia
Martin HÄUSLING,10049,9622.0,0.9575082097721166,0.9191959398945169,,,,,Greens/EFA,Germany
Martin SCHULZ,4737,4692.0,0.9905003166561115,0.023221448173949756,,,,,S&D,Germany
Miguel ARIAS CAÑETE,140,140.0,1.0,0.6071428571428571,,,,,EPP,Spain
Mirja VEHKAPERÄ  This person became MEP later than the general start of the term.,8056,8018.0,0.9952830188679245,0.32013406156901686,,,,,ALDE/ADLE,Finland
Nikolay BAREKOV,10049,7430.0,0.7393770524430292,0.5730918499353169,,,,,ECR,Bulgaria
Olli REHN,548,270.0,0.4927007299270073,0.3284671532846715,,,,,ALDE/ADLE,Finland
Pablo ECHENIQUE,522,522.0,1.0,0.9942528735632183,,,,,GUE-NGL,Spain
Philip BRADBOURN,282,5.0,0.01773049645390071,0.0035460992907801418,,,,,ECR,United Kingdom
Pier Antonio PANZERI,10049,9767.0,0.9719375062195243,0.9401930540352273,,,,,S&D,Italy
Raffaele FITTO,10049,7937.0,0.7898298338143099,0.7398746143894915,,,,,ECR,Italy
Renate WEBER,10049,8531.0,0.8489401930540352,0.8183898895412479,,,,,ALDE/ADLE,Romania
Romeo FRANZ  This person became MEP later than the general start of the term.,2621,2621.0,1.0,0.9160625715375811,,,,,Greens/EFA,Germany
Rory PALMER  This person became MEP later than the general start of the term.,4302,4005.0,0.9309623430962343,0.8447233844723384,,,,,S&D,United Kingdom
Sampo TERHO,548,522.0,0.9525547445255474,0.9525547445255474,,,,,ECR,Finland
Stefan GEHROLD  This person became MEP later than the general start of the term.,2364,2247.0,0.950507614213198,0.9395093062605753,,,,,EPP,Germany
Thomas HÄNDEL,10049,4243.0,0.4222310677679371,0.4041198129167081,,,,,GUE-NGL,Germany
Timothy KIRKHOPE,4043,2940.0,0.7271827850605985,0.5533020034627751,,,,,ECR,United Kingdom
Tomislav DONCHEV,140,105.0,0.75,0.7214285714285714,,,,,EPP,Bulgaria
Udo VOIGT,10049,9151.0,0.9106378744153647,0.8679470594088964,,,,,NI,Germany
Valdis DOMBROVSKIS,140,140.0,1.0,0.6142857142857143,,,,,EPP,Latvia
Viktor USPASKICH,10049,7711.0,0.7673400338342123,0.6969847746044383,,,,,ALDE/ADLE,Lithuania
Vilija BLINKEVIČIŪTĖ,10049,9908.0,0.9859687531097622,0.9710418947158921,,,,,S&D,Lithuania
